Услуги-Авиация, Летища и Авиолинии;6.0
Производство-Химия и горива;2.5
Услуги-Архитектура, Строителство и Градоустройство;25.0
Технологии-Маркетинг;7.3
Услуги-Почистване, Услуги за домакинството;15.8
Технологии-Счетоводство, Одит, Финанси;9.5
Производство-Металургия и минно дело;1.7
Технологии-Човешки ресурси;0.5
Услуги-Институции/Държавна администрация;0.0
Услуги-Административни и офис дейности;30.3
Технологии-ИТ-Разработка/поддръжка на софтуер;18.0
Технологии-Право, Юридически услуги;0.3
Технологии-Образование, Курсове, Преводи;23.2
Услуги-Шофьори, Куриери;44.2
Услуги-Морски и Речен Транспорт/Морски Специалисти;1.0
Услуги-Организации с нестопанска цел;0.5
Производство-Производство(друго);29.5
Услуги-Търговия, Продажби-Продавачи и помощен персонал;167.3
Услуги-Салони за красота;16.7
Технологии-Телекомуникации-административни дейности и продажби;6.3
Производство-Храни и Напитки;8.0
Технологии-Инженери;17.2
Производство-Електроника/Електротехника, Машиностроене;11.7
Технологии-ИТ-Разработка/поддръжка на хардуер;0.8
Услуги-Спорт, Кинезитерапия;1.0
Производство-Фармация;1.2
Добив-Селско и горско стопанство, Рибовъдство;1.8
Услуги-Пътуване и Резервации/Туристически агенции;14.2
Услуги-Застраховане;4.5
Услуги-Контакт центрове (Call Centers);7.0
Услуги-Логистика, Спедиция;20.2
Технологии-ИТ-Административни дейности и продажби;6.2
Технологии-Научна и изследователска дейност;0.3
Услуги-Изкуство, Развлечение, Промоции;21.8
Услуги-Търговия, Продажби-Експерти и мениджъри;61.5
Технологии-Дизайн, Криейтив, Видео и Анимация;11.2
Технологии-Медии;3.2
Услуги-Здравеопазване и фармация;45.0
Услуги-Хотели;21.0
Услуги-Автомобили, Автосервизи, Бензиностанции;25.3
Технологии-Бизнес/Консултантски услуги;2.8
Производство-Текстил и Облеклa;3.3
Услуги-Охрана;11.3
Технологии-Мениджмънт, бизнес развитие;1.5
Услуги-Банки/Кредитиране;8.5
Услуги-Ремонт/Инсталация/Сервиз;32.7
Услуги-Ресторанти, Кетъринг;98.3
Технологии-Реклама/PR;8.0
Услуги-Недвижими имоти;32.0
Технологии-Телекомуникации-инженери и техници;3.2
Услуги-Енергетика и Ютилитис (Ток/Вода/Парно/Газ);9.7
