Услуги-Авиация, Летища и Авиолинии;6.0
Производство-Химия и горива;2.5
Услуги-Архитектура, Строителство и Градоустройство;31.8
Технологии-Маркетинг;8.3
Услуги-Почистване, Услуги за домакинството;39.2
Технологии-Счетоводство, Одит, Финанси;18.3
Производство-Металургия и минно дело;1.7
Технологии-Човешки ресурси;2.5
Услуги-Институции/Държавна администрация;0.0
Услуги-Административни и офис дейности;50.2
Технологии-ИТ-Разработка/поддръжка на софтуер;18.5
Технологии-Право, Юридически услуги;0.3
Технологии-Образование, Курсове, Преводи;26.2
Услуги-Шофьори, Куриери;54.0
Услуги-Морски и Речен Транспорт/Морски Специалисти;2.0
Услуги-Организации с нестопанска цел;0.5
Производство-Производство(друго);38.7
Услуги-Търговия, Продажби-Продавачи и помощен персонал;198.5
Услуги-Салони за красота;27.7
Технологии-Телекомуникации-административни дейности и продажби;7.3
Производство-Храни и Напитки;12.0
Технологии-Инженери;17.7
Производство-Електроника/Електротехника, Машиностроене;13.0
Технологии-ИТ-Разработка/поддръжка на хардуер;1.3
Услуги-Спорт, Кинезитерапия;5.0
Производство-Фармация;1.2
Добив-Селско и горско стопанство, Рибовъдство;4.3
Услуги-Пътуване и Резервации/Туристически агенции;28.8
Услуги-Застраховане;5.2
Услуги-Контакт центрове (Call Centers);7.5
Услуги-Логистика, Спедиция;22.5
Технологии-ИТ-Административни дейности и продажби;6.2
Технологии-Научна и изследователска дейност;0.3
Услуги-Изкуство, Развлечение, Промоции;30.8
Услуги-Търговия, Продажби-Експерти и мениджъри;63.5
Технологии-Дизайн, Криейтив, Видео и Анимация;11.7
Технологии-Медии;3.2
Услуги-Здравеопазване и фармация;55.0
Услуги-Хотели;209.8
Услуги-Автомобили, Автосервизи, Бензиностанции;29.7
Технологии-Бизнес/Консултантски услуги;4.2
Производство-Текстил и Облеклa;3.3
Услуги-Охрана;13.3
Технологии-Мениджмънт, бизнес развитие;3.0
Услуги-Банки/Кредитиране;11.7
Услуги-Ремонт/Инсталация/Сервиз;43.0
Услуги-Ресторанти, Кетъринг;275.8
Технологии-Реклама/PR;8.0
Услуги-Недвижими имоти;41.3
Технологии-Телекомуникации-инженери и техници;3.5
Услуги-Енергетика и Ютилитис (Ток/Вода/Парно/Газ);11.0
