Услуги-Авиация, Летища и Авиолинии;0.0
Производство-Химия и горива;2.0
Услуги-Архитектура, Строителство и Градоустройство;5.0
Технологии-Маркетинг;4.7
Услуги-Почистване, Услуги за домакинството;5.8
Технологии-Счетоводство, Одит, Финанси;7.0
Производство-Металургия и минно дело;0.0
Технологии-Човешки ресурси;0.0
Услуги-Институции/Държавна администрация;0.0
Услуги-Административни и офис дейности;15.2
Технологии-ИТ-Разработка/поддръжка на софтуер;1.5
Технологии-Право, Юридически услуги;0.0
Технологии-Образование, Курсове, Преводи;1.0
Услуги-Шофьори, Куриери;10.3
Услуги-Морски и Речен Транспорт/Морски Специалисти;0.0
Услуги-Организации с нестопанска цел;0.0
Производство-Производство(друго);7.3
Услуги-Търговия, Продажби-Продавачи и помощен персонал;37.0
Услуги-Салони за красота;1.3
Технологии-Телекомуникации-административни дейности и продажби;1.3
Производство-Храни и Напитки;4.3
Технологии-Инженери;2.7
Производство-Електроника/Електротехника, Машиностроене;2.7
Технологии-ИТ-Разработка/поддръжка на хардуер;1.5
Услуги-Спорт, Кинезитерапия;3.3
Производство-Фармация;0.0
Добив-Селско и горско стопанство, Рибовъдство;0.7
Услуги-Пътуване и Резервации/Туристически агенции;0.3
Услуги-Застраховане;2.0
Услуги-Контакт центрове (Call Centers);0.0
Услуги-Логистика, Спедиция;5.8
Технологии-ИТ-Административни дейности и продажби;0.5
Технологии-Научна и изследователска дейност;0.0
Услуги-Изкуство, Развлечение, Промоции;8.5
Услуги-Търговия, Продажби-Експерти и мениджъри;5.0
Технологии-Дизайн, Криейтив, Видео и Анимация;0.0
Технологии-Медии;1.0
Услуги-Здравеопазване и фармация;13.0
Услуги-Хотели;80.7
Услуги-Автомобили, Автосервизи, Бензиностанции;2.8
Технологии-Бизнес/Консултантски услуги;1.3
Производство-Текстил и Облеклa;8.5
Услуги-Охрана;2.7
Технологии-Мениджмънт, бизнес развитие;1.0
Услуги-Банки/Кредитиране;5.8
Услуги-Ремонт/Инсталация/Сервиз;5.0
Услуги-Ресторанти, Кетъринг;64.8
Технологии-Реклама/PR;0.0
Услуги-Недвижими имоти;2.0
Технологии-Телекомуникации-инженери и техници;2.5
Услуги-Енергетика и Ютилитис (Ток/Вода/Парно/Газ);1.0
