Услуги-Авиация, Летища и Авиолинии;0.0
Производство-Химия и горива;0.0
Услуги-Архитектура, Строителство и Градоустройство;1.8
Технологии-Маркетинг;2.3
Услуги-Почистване, Услуги за домакинството;3.5
Технологии-Счетоводство, Одит, Финанси;2.5
Производство-Металургия и минно дело;0.0
Технологии-Човешки ресурси;0.0
Услуги-Институции/Държавна администрация;0.0
Услуги-Административни и офис дейности;5.7
Технологии-ИТ-Разработка/поддръжка на софтуер;0.7
Технологии-Право, Юридически услуги;0.0
Технологии-Образование, Курсове, Преводи;1.0
Услуги-Шофьори, Куриери;20.3
Услуги-Морски и Речен Транспорт/Морски Специалисти;0.0
Услуги-Организации с нестопанска цел;0.0
Производство-Производство(друго);12.5
Услуги-Търговия, Продажби-Продавачи и помощен персонал;34.5
Услуги-Салони за красота;2.0
Технологии-Телекомуникации-административни дейности и продажби;0.3
Производство-Храни и Напитки;6.8
Технологии-Инженери;1.3
Производство-Електроника/Електротехника, Машиностроене;1.5
Технологии-ИТ-Разработка/поддръжка на хардуер;0.0
Услуги-Спорт, Кинезитерапия;0.0
Производство-Фармация;0.0
Добив-Селско и горско стопанство, Рибовъдство;5.8
Услуги-Пътуване и Резервации/Туристически агенции;0.0
Услуги-Застраховане;2.8
Услуги-Контакт центрове (Call Centers);3.0
Услуги-Логистика, Спедиция;4.3
Технологии-ИТ-Административни дейности и продажби;1.0
Технологии-Научна и изследователска дейност;0.0
Услуги-Изкуство, Развлечение, Промоции;3.5
Услуги-Търговия, Продажби-Експерти и мениджъри;10.0
Технологии-Дизайн, Криейтив, Видео и Анимация;2.7
Технологии-Медии;0.0
Услуги-Здравеопазване и фармация;5.0
Услуги-Хотели;1.5
Услуги-Автомобили, Автосервизи, Бензиностанции;5.5
Технологии-Бизнес/Консултантски услуги;0.3
Производство-Текстил и Облеклa;1.5
Услуги-Охрана;4.0
Технологии-Мениджмънт, бизнес развитие;0.3
Услуги-Банки/Кредитиране;1.3
Услуги-Ремонт/Инсталация/Сервиз;3.5
Услуги-Ресторанти, Кетъринг;26.5
Технологии-Реклама/PR;0.8
Услуги-Недвижими имоти;0.0
Технологии-Телекомуникации-инженери и техници;0.3
Услуги-Енергетика и Ютилитис (Ток/Вода/Парно/Газ);1.3
