Услуги-Авиация, Летища и Авиолинии;0.0
Производство-Химия и горива;0.0
Услуги-Архитектура, Строителство и Градоустройство;5.5
Технологии-Маркетинг;0.8
Услуги-Почистване, Услуги за домакинството;2.0
Технологии-Счетоводство, Одит, Финанси;3.0
Производство-Металургия и минно дело;0.0
Технологии-Човешки ресурси;0.0
Услуги-Институции/Държавна администрация;0.0
Услуги-Административни и офис дейности;4.8
Технологии-ИТ-Разработка/поддръжка на софтуер;3.3
Технологии-Право, Юридически услуги;0.0
Технологии-Образование, Курсове, Преводи;0.0
Услуги-Шофьори, Куриери;6.8
Услуги-Морски и Речен Транспорт/Морски Специалисти;0.0
Услуги-Организации с нестопанска цел;1.0
Производство-Производство(друго);10.2
Услуги-Търговия, Продажби-Продавачи и помощен персонал;29.3
Услуги-Салони за красота;0.0
Технологии-Телекомуникации-административни дейности и продажби;0.5
Производство-Храни и Напитки;1.8
Технологии-Инженери;1.5
Производство-Електроника/Електротехника, Машиностроене;13.0
Технологии-ИТ-Разработка/поддръжка на хардуер;0.3
Услуги-Спорт, Кинезитерапия;0.0
Производство-Фармация;0.0
Добив-Селско и горско стопанство, Рибовъдство;0.0
Услуги-Пътуване и Резервации/Туристически агенции;1.0
Услуги-Застраховане;0.0
Услуги-Контакт центрове (Call Centers);0.5
Услуги-Логистика, Спедиция;3.8
Технологии-ИТ-Административни дейности и продажби;2.8
Технологии-Научна и изследователска дейност;1.0
Услуги-Изкуство, Развлечение, Промоции;2.5
Услуги-Търговия, Продажби-Експерти и мениджъри;4.2
Технологии-Дизайн, Криейтив, Видео и Анимация;1.5
Технологии-Медии;0.0
Услуги-Здравеопазване и фармация;4.0
Услуги-Хотели;9.8
Услуги-Автомобили, Автосервизи, Бензиностанции;4.5
Технологии-Бизнес/Консултантски услуги;2.0
Производство-Текстил и Облеклa;15.0
Услуги-Охрана;5.3
Технологии-Мениджмънт, бизнес развитие;0.7
Услуги-Банки/Кредитиране;4.3
Услуги-Ремонт/Инсталация/Сервиз;6.8
Услуги-Ресторанти, Кетъринг;24.0
Технологии-Реклама/PR;1.5
Услуги-Недвижими имоти;1.0
Технологии-Телекомуникации-инженери и техници;2.0
Услуги-Енергетика и Ютилитис (Ток/Вода/Парно/Газ);1.7
