Услуги-Авиация, Летища и Авиолинии;0.0
Производство-Химия и горива;0.0
Услуги-Архитектура, Строителство и Градоустройство;2.0
Технологии-Маркетинг;1.0
Услуги-Почистване, Услуги за домакинството;6.0
Технологии-Счетоводство, Одит, Финанси;4.3
Производство-Металургия и минно дело;1.0
Технологии-Човешки ресурси;2.8
Услуги-Институции/Държавна администрация;0.0
Услуги-Административни и офис дейности;16.0
Технологии-ИТ-Разработка/поддръжка на софтуер;0.0
Технологии-Право, Юридически услуги;0.5
Технологии-Образование, Курсове, Преводи;0.5
Услуги-Шофьори, Куриери;21.3
Услуги-Морски и Речен Транспорт/Морски Специалисти;0.0
Услуги-Организации с нестопанска цел;0.0
Производство-Производство(друго);9.2
Услуги-Търговия, Продажби-Продавачи и помощен персонал;41.7
Услуги-Салони за красота;4.5
Технологии-Телекомуникации-административни дейности и продажби;1.8
Производство-Храни и Напитки;11.3
Технологии-Инженери;1.5
Производство-Електроника/Електротехника, Машиностроене;5.2
Технологии-ИТ-Разработка/поддръжка на хардуер;0.0
Услуги-Спорт, Кинезитерапия;0.5
Производство-Фармация;0.0
Добив-Селско и горско стопанство, Рибовъдство;2.0
Услуги-Пътуване и Резервации/Туристически агенции;2.0
Услуги-Застраховане;2.3
Услуги-Контакт центрове (Call Centers);0.3
Услуги-Логистика, Спедиция;10.2
Технологии-ИТ-Административни дейности и продажби;1.7
Технологии-Научна и изследователска дейност;0.3
Услуги-Изкуство, Развлечение, Промоции;10.5
Услуги-Търговия, Продажби-Експерти и мениджъри;6.5
Технологии-Дизайн, Криейтив, Видео и Анимация;0.0
Технологии-Медии;0.0
Услуги-Здравеопазване и фармация;0.8
Услуги-Хотели;2.0
Услуги-Автомобили, Автосервизи, Бензиностанции;11.7
Технологии-Бизнес/Консултантски услуги;0.3
Производство-Текстил и Облеклa;7.0
Услуги-Охрана;4.0
Технологии-Мениджмънт, бизнес развитие;0.5
Услуги-Банки/Кредитиране;7.0
Услуги-Ремонт/Инсталация/Сервиз;7.2
Услуги-Ресторанти, Кетъринг;31.0
Технологии-Реклама/PR;0.5
Услуги-Недвижими имоти;1.0
Технологии-Телекомуникации-инженери и техници;0.5
Услуги-Енергетика и Ютилитис (Ток/Вода/Парно/Газ);0.5
