Услуги-Авиация, Летища и Авиолинии;0.0
Производство-Химия и горива;1.0
Услуги-Архитектура, Строителство и Градоустройство;3.0
Технологии-Маркетинг;3.3
Услуги-Почистване, Услуги за домакинството;1.3
Технологии-Счетоводство, Одит, Финанси;0.5
Производство-Металургия и минно дело;0.0
Технологии-Човешки ресурси;0.0
Услуги-Институции/Държавна администрация;1.0
Услуги-Административни и офис дейности;1.7
Технологии-ИТ-Разработка/поддръжка на софтуер;0.0
Технологии-Право, Юридически услуги;0.0
Технологии-Образование, Курсове, Преводи;0.3
Услуги-Шофьори, Куриери;8.5
Услуги-Морски и Речен Транспорт/Морски Специалисти;0.0
Услуги-Организации с нестопанска цел;1.0
Производство-Производство(друго);9.8
Услуги-Търговия, Продажби-Продавачи и помощен персонал;20.3
Услуги-Салони за красота;0.5
Технологии-Телекомуникации-административни дейности и продажби;0.0
Производство-Храни и Напитки;1.3
Технологии-Инженери;0.8
Производство-Електроника/Електротехника, Машиностроене;1.8
Технологии-ИТ-Разработка/поддръжка на хардуер;0.0
Услуги-Спорт, Кинезитерапия;0.0
Производство-Фармация;0.0
Добив-Селско и горско стопанство, Рибовъдство;0.0
Услуги-Пътуване и Резервации/Туристически агенции;0.0
Услуги-Застраховане;2.0
Услуги-Контакт центрове (Call Centers);0.0
Услуги-Логистика, Спедиция;0.0
Технологии-ИТ-Административни дейности и продажби;1.0
Технологии-Научна и изследователска дейност;0.0
Услуги-Изкуство, Развлечение, Промоции;2.0
Услуги-Търговия, Продажби-Експерти и мениджъри;4.8
Технологии-Дизайн, Криейтив, Видео и Анимация;0.0
Технологии-Медии;0.0
Услуги-Здравеопазване и фармация;9.5
Услуги-Хотели;7.0
Услуги-Автомобили, Автосервизи, Бензиностанции;3.5
Технологии-Бизнес/Консултантски услуги;0.7
Производство-Текстил и Облеклa;6.5
Услуги-Охрана;2.0
Технологии-Мениджмънт, бизнес развитие;0.3
Услуги-Банки/Кредитиране;3.8
Услуги-Ремонт/Инсталация/Сервиз;3.5
Услуги-Ресторанти, Кетъринг;15.0
Технологии-Реклама/PR;0.0
Услуги-Недвижими имоти;0.0
Технологии-Телекомуникации-инженери и техници;0.0
Услуги-Енергетика и Ютилитис (Ток/Вода/Парно/Газ);0.0
