Услуги-Авиация, Летища и Авиолинии;0.0
Производство-Химия и горива;4.3
Услуги-Архитектура, Строителство и Градоустройство;8.5
Технологии-Маркетинг;1.3
Услуги-Почистване, Услуги за домакинството;6.0
Технологии-Счетоводство, Одит, Финанси;3.3
Производство-Металургия и минно дело;0.0
Технологии-Човешки ресурси;1.2
Услуги-Институции/Държавна администрация;0.0
Услуги-Административни и офис дейности;14.2
Технологии-ИТ-Разработка/поддръжка на софтуер;1.3
Технологии-Право, Юридически услуги;3.3
Технологии-Образование, Курсове, Преводи;1.3
Услуги-Шофьори, Куриери;27.8
Услуги-Морски и Речен Транспорт/Морски Специалисти;0.0
Услуги-Организации с нестопанска цел;0.3
Производство-Производство(друго);21.3
Услуги-Търговия, Продажби-Продавачи и помощен персонал;37.2
Услуги-Салони за красота;11.0
Технологии-Телекомуникации-административни дейности и продажби;1.0
Производство-Храни и Напитки;12.2
Технологии-Инженери;3.2
Производство-Електроника/Електротехника, Машиностроене;7.8
Технологии-ИТ-Разработка/поддръжка на хардуер;0.3
Услуги-Спорт, Кинезитерапия;0.0
Производство-Фармация;0.0
Добив-Селско и горско стопанство, Рибовъдство;2.5
Услуги-Пътуване и Резервации/Туристически агенции;1.0
Услуги-Застраховане;2.5
Услуги-Контакт центрове (Call Centers);1.3
Услуги-Логистика, Спедиция;6.8
Технологии-ИТ-Административни дейности и продажби;0.5
Технологии-Научна и изследователска дейност;0.3
Услуги-Изкуство, Развлечение, Промоции;7.5
Услуги-Търговия, Продажби-Експерти и мениджъри;10.7
Технологии-Дизайн, Криейтив, Видео и Анимация;0.5
Технологии-Медии;0.0
Услуги-Здравеопазване и фармация;1.5
Услуги-Хотели;2.5
Услуги-Автомобили, Автосервизи, Бензиностанции;10.0
Технологии-Бизнес/Консултантски услуги;0.3
Производство-Текстил и Облеклa;13.5
Услуги-Охрана;1.0
Технологии-Мениджмънт, бизнес развитие;1.0
Услуги-Банки/Кредитиране;6.7
Услуги-Ремонт/Инсталация/Сервиз;11.2
Услуги-Ресторанти, Кетъринг;26.0
Технологии-Реклама/PR;0.0
Услуги-Недвижими имоти;1.0
Технологии-Телекомуникации-инженери и техници;0.3
Услуги-Енергетика и Ютилитис (Ток/Вода/Парно/Газ);1.3
