Услуги-Авиация, Летища и Авиолинии;0.0
Производство-Химия и горива;4.3
Услуги-Архитектура, Строителство и Градоустройство;9.5
Технологии-Маркетинг;1.3
Услуги-Почистване, Услуги за домакинството;6.0
Технологии-Счетоводство, Одит, Финанси;6.0
Производство-Металургия и минно дело;0.3
Технологии-Човешки ресурси;1.5
Услуги-Институции/Държавна администрация;0.0
Услуги-Административни и офис дейности;17.7
Технологии-ИТ-Разработка/поддръжка на софтуер;1.7
Технологии-Право, Юридически услуги;3.3
Технологии-Образование, Курсове, Преводи;1.3
Услуги-Шофьори, Куриери;33.3
Услуги-Морски и Речен Транспорт/Морски Специалисти;0.0
Услуги-Организации с нестопанска цел;0.3
Производство-Производство(друго);30.0
Услуги-Търговия, Продажби-Продавачи и помощен персонал;42.5
Услуги-Салони за красота;11.0
Технологии-Телекомуникации-административни дейности и продажби;1.3
Производство-Храни и Напитки;17.2
Технологии-Инженери;4.8
Производство-Електроника/Електротехника, Машиностроене;10.5
Технологии-ИТ-Разработка/поддръжка на хардуер;0.7
Услуги-Спорт, Кинезитерапия;0.0
Производство-Фармация;5.0
Добив-Селско и горско стопанство, Рибовъдство;6.0
Услуги-Пътуване и Резервации/Туристически агенции;1.0
Услуги-Застраховане;4.5
Услуги-Контакт центрове (Call Centers);1.3
Услуги-Логистика, Спедиция;9.8
Технологии-ИТ-Административни дейности и продажби;0.5
Технологии-Научна и изследователска дейност;0.7
Услуги-Изкуство, Развлечение, Промоции;9.5
Услуги-Търговия, Продажби-Експерти и мениджъри;14.2
Технологии-Дизайн, Криейтив, Видео и Анимация;0.5
Технологии-Медии;0.0
Услуги-Здравеопазване и фармация;4.5
Услуги-Хотели;4.0
Услуги-Автомобили, Автосервизи, Бензиностанции;10.0
Технологии-Бизнес/Консултантски услуги;0.3
Производство-Текстил и Облеклa;13.5
Услуги-Охрана;2.0
Технологии-Мениджмънт, бизнес развитие;1.0
Услуги-Банки/Кредитиране;10.8
Услуги-Ремонт/Инсталация/Сервиз;16.5
Услуги-Ресторанти, Кетъринг;29.0
Технологии-Реклама/PR;0.0
Услуги-Недвижими имоти;1.0
Технологии-Телекомуникации-инженери и техници;0.3
Услуги-Енергетика и Ютилитис (Ток/Вода/Парно/Газ);1.3
