Услуги-Авиация, Летища и Авиолинии;0.0
Производство-Химия и горива;5.0
Услуги-Архитектура, Строителство и Градоустройство;56.3
Технологии-Маркетинг;10.8
Услуги-Почистване, Услуги за домакинството;77.3
Технологии-Счетоводство, Одит, Финанси;43.2
Производство-Металургия и минно дело;4.7
Технологии-Човешки ресурси;6.0
Услуги-Институции/Държавна администрация;1.5
Услуги-Административни и офис дейности;106.0
Технологии-ИТ-Разработка/поддръжка на софтуер;71.0
Технологии-Право, Юридически услуги;3.5
Технологии-Образование, Курсове, Преводи;51.0
Услуги-Шофьори, Куриери;130.5
Услуги-Морски и Речен Транспорт/Морски Специалисти;0.0
Услуги-Организации с нестопанска цел;2.7
Производство-Производство(друго);155.8
Услуги-Търговия, Продажби-Продавачи и помощен персонал;344.2
Услуги-Салони за красота;57.0
Технологии-Телекомуникации-административни дейности и продажби;12.7
Производство-Храни и Напитки;45.2
Технологии-Инженери;47.0
Производство-Електроника/Електротехника, Машиностроене;92.3
Технологии-ИТ-Разработка/поддръжка на хардуер;13.3
Услуги-Спорт, Кинезитерапия;7.8
Производство-Фармация;1.2
Добив-Селско и горско стопанство, Рибовъдство;3.3
Услуги-Пътуване и Резервации/Туристически агенции;2.5
Услуги-Застраховане;10.5
Услуги-Контакт центрове (Call Centers);25.7
Услуги-Логистика, Спедиция;71.2
Технологии-ИТ-Административни дейности и продажби;20.5
Технологии-Научна и изследователска дейност;1.7
Услуги-Изкуство, Развлечение, Промоции;29.7
Услуги-Търговия, Продажби-Експерти и мениджъри;89.3
Технологии-Дизайн, Криейтив, Видео и Анимация;16.0
Технологии-Медии;0.5
Услуги-Здравеопазване и фармация;60.7
Услуги-Хотели;31.7
Услуги-Автомобили, Автосервизи, Бензиностанции;67.7
Технологии-Бизнес/Консултантски услуги;7.3
Производство-Текстил и Облеклa;49.3
Услуги-Охрана;22.2
Технологии-Мениджмънт, бизнес развитие;4.8
Услуги-Банки/Кредитиране;12.2
Услуги-Ремонт/Инсталация/Сервиз;68.7
Услуги-Ресторанти, Кетъринг;280.2
Технологии-Реклама/PR;6.5
Услуги-Недвижими имоти;26.5
Технологии-Телекомуникации-инженери и техници;7.8
Услуги-Енергетика и Ютилитис (Ток/Вода/Парно/Газ);10.7
