Услуги-Авиация, Летища и Авиолинии;0.0
Производство-Химия и горива;5.0
Услуги-Архитектура, Строителство и Градоустройство;62.7
Технологии-Маркетинг;12.3
Услуги-Почистване, Услуги за домакинството;85.8
Технологии-Счетоводство, Одит, Финанси;51.2
Производство-Металургия и минно дело;6.2
Технологии-Човешки ресурси;7.0
Услуги-Институции/Държавна администрация;4.0
Услуги-Административни и офис дейности;115.5
Технологии-ИТ-Разработка/поддръжка на софтуер;71.3
Технологии-Право, Юридически услуги;3.5
Технологии-Образование, Курсове, Преводи;51.0
Услуги-Шофьори, Куриери;148.0
Услуги-Морски и Речен Транспорт/Морски Специалисти;0.0
Услуги-Организации с нестопанска цел;2.7
Производство-Производство(друго);183.2
Услуги-Търговия, Продажби-Продавачи и помощен персонал;361.8
Услуги-Салони за красота;57.5
Технологии-Телекомуникации-административни дейности и продажби;14.3
Производство-Храни и Напитки;63.7
Технологии-Инженери;51.0
Производство-Електроника/Електротехника, Машиностроене;98.5
Технологии-ИТ-Разработка/поддръжка на хардуер;13.3
Услуги-Спорт, Кинезитерапия;7.8
Производство-Фармация;1.5
Добив-Селско и горско стопанство, Рибовъдство;7.0
Услуги-Пътуване и Резервации/Туристически агенции;2.5
Услуги-Застраховане;10.5
Услуги-Контакт центрове (Call Centers);26.7
Услуги-Логистика, Спедиция;78.7
Технологии-ИТ-Административни дейности и продажби;20.8
Технологии-Научна и изследователска дейност;1.7
Услуги-Изкуство, Развлечение, Промоции;33.2
Услуги-Търговия, Продажби-Експерти и мениджъри;90.3
Технологии-Дизайн, Криейтив, Видео и Анимация;17.3
Технологии-Медии;0.5
Услуги-Здравеопазване и фармация;62.7
Услуги-Хотели;44.2
Услуги-Автомобили, Автосервизи, Бензиностанции;72.7
Технологии-Бизнес/Консултантски услуги;8.2
Производство-Текстил и Облеклa;55.8
Услуги-Охрана;28.2
Технологии-Мениджмънт, бизнес развитие;6.5
Услуги-Банки/Кредитиране;15.2
Услуги-Ремонт/Инсталация/Сервиз;74.7
Услуги-Ресторанти, Кетъринг;295.2
Технологии-Реклама/PR;6.5
Услуги-Недвижими имоти;26.5
Технологии-Телекомуникации-инженери и техници;8.2
Услуги-Енергетика и Ютилитис (Ток/Вода/Парно/Газ);12.7
