Услуги-Авиация, Летища и Авиолинии;0.0
Производство-Химия и горива;0.0
Услуги-Архитектура, Строителство и Градоустройство;5.3
Технологии-Маркетинг;1.5
Услуги-Почистване, Услуги за домакинството;12.0
Технологии-Счетоводство, Одит, Финанси;10.8
Производство-Металургия и минно дело;0.8
Технологии-Човешки ресурси;0.0
Услуги-Институции/Държавна администрация;0.0
Услуги-Административни и офис дейности;9.0
Технологии-ИТ-Разработка/поддръжка на софтуер;1.0
Технологии-Право, Юридически услуги;1.0
Технологии-Образование, Курсове, Преводи;1.5
Услуги-Шофьори, Куриери;32.3
Услуги-Морски и Речен Транспорт/Морски Специалисти;0.0
Услуги-Организации с нестопанска цел;0.3
Производство-Производство(друго);19.7
Услуги-Търговия, Продажби-Продавачи и помощен персонал;84.5
Услуги-Салони за красота;3.5
Технологии-Телекомуникации-административни дейности и продажби;3.2
Производство-Храни и Напитки;21.7
Технологии-Инженери;7.0
Производство-Електроника/Електротехника, Машиностроене;8.0
Технологии-ИТ-Разработка/поддръжка на хардуер;0.8
Услуги-Спорт, Кинезитерапия;0.0
Производство-Фармация;0.0
Добив-Селско и горско стопанство, Рибовъдство;12.3
Услуги-Пътуване и Резервации/Туристически агенции;0.5
Услуги-Застраховане;6.3
Услуги-Контакт центрове (Call Centers);0.8
Услуги-Логистика, Спедиция;12.7
Технологии-ИТ-Административни дейности и продажби;0.8
Технологии-Научна и изследователска дейност;0.0
Услуги-Изкуство, Развлечение, Промоции;4.0
Услуги-Търговия, Продажби-Експерти и мениджъри;17.7
Технологии-Дизайн, Криейтив, Видео и Анимация;0.5
Технологии-Медии;0.5
Услуги-Здравеопазване и фармация;8.0
Услуги-Хотели;3.5
Услуги-Автомобили, Автосервизи, Бензиностанции;19.5
Технологии-Бизнес/Консултантски услуги;1.7
Производство-Текстил и Облеклa;41.0
Услуги-Охрана;5.0
Технологии-Мениджмънт, бизнес развитие;0.8
Услуги-Банки/Кредитиране;5.7
Услуги-Ремонт/Инсталация/Сервиз;14.5
Услуги-Ресторанти, Кетъринг;50.0
Технологии-Реклама/PR;0.5
Услуги-Недвижими имоти;3.0
Технологии-Телекомуникации-инженери и техници;2.3
Услуги-Енергетика и Ютилитис (Ток/Вода/Парно/Газ);0.3
