Услуги-Авиация, Летища и Авиолинии;0.0
Производство-Химия и горива;0.0
Услуги-Архитектура, Строителство и Градоустройство;6.3
Технологии-Маркетинг;3.3
Услуги-Почистване, Услуги за домакинството;7.5
Технологии-Счетоводство, Одит, Финанси;4.2
Производство-Металургия и минно дело;5.0
Технологии-Човешки ресурси;0.0
Услуги-Институции/Държавна администрация;0.5
Услуги-Административни и офис дейности;12.8
Технологии-ИТ-Разработка/поддръжка на софтуер;1.5
Технологии-Право, Юридически услуги;0.0
Технологии-Образование, Курсове, Преводи;1.0
Услуги-Шофьори, Куриери;27.0
Услуги-Морски и Речен Транспорт/Морски Специалисти;0.0
Услуги-Организации с нестопанска цел;0.0
Производство-Производство(друго);26.2
Услуги-Търговия, Продажби-Продавачи и помощен персонал;54.5
Услуги-Салони за красота;2.0
Технологии-Телекомуникации-административни дейности и продажби;2.3
Производство-Храни и Напитки;13.0
Технологии-Инженери;6.0
Производство-Електроника/Електротехника, Машиностроене;20.7
Технологии-ИТ-Разработка/поддръжка на хардуер;1.7
Услуги-Спорт, Кинезитерапия;2.5
Производство-Фармация;0.0
Добив-Селско и горско стопанство, Рибовъдство;3.5
Услуги-Пътуване и Резервации/Туристически агенции;0.0
Услуги-Застраховане;0.3
Услуги-Контакт центрове (Call Centers);1.0
Услуги-Логистика, Спедиция;14.2
Технологии-ИТ-Административни дейности и продажби;0.5
Технологии-Научна и изследователска дейност;0.0
Услуги-Изкуство, Развлечение, Промоции;3.0
Услуги-Търговия, Продажби-Експерти и мениджъри;16.7
Технологии-Дизайн, Криейтив, Видео и Анимация;0.5
Технологии-Медии;2.0
Услуги-Здравеопазване и фармация;3.0
Услуги-Хотели;3.0
Услуги-Автомобили, Автосервизи, Бензиностанции;10.2
Технологии-Бизнес/Консултантски услуги;1.3
Производство-Текстил и Облеклa;11.5
Услуги-Охрана;4.0
Технологии-Мениджмънт, бизнес развитие;0.7
Услуги-Банки/Кредитиране;5.3
Услуги-Ремонт/Инсталация/Сервиз;9.5
Услуги-Ресторанти, Кетъринг;36.3
Технологии-Реклама/PR;0.0
Услуги-Недвижими имоти;0.5
Технологии-Телекомуникации-инженери и техници;1.3
Услуги-Енергетика и Ютилитис (Ток/Вода/Парно/Газ);3.7
