Услуги-Авиация, Летища и Авиолинии;0.0
Производство-Химия и горива;5.5
Услуги-Архитектура, Строителство и Градоустройство;20.5
Технологии-Маркетинг;3.7
Услуги-Почистване, Услуги за домакинството;15.0
Технологии-Счетоводство, Одит, Финанси;8.8
Производство-Металургия и минно дело;1.3
Технологии-Човешки ресурси;0.0
Услуги-Институции/Държавна администрация;0.0
Услуги-Административни и офис дейности;27.2
Технологии-ИТ-Разработка/поддръжка на софтуер;4.8
Технологии-Право, Юридически услуги;0.5
Технологии-Образование, Курсове, Преводи;4.3
Услуги-Шофьори, Куриери;30.0
Услуги-Морски и Речен Транспорт/Морски Специалисти;0.0
Услуги-Организации с нестопанска цел;0.7
Производство-Производство(друго);30.3
Услуги-Търговия, Продажби-Продавачи и помощен персонал;99.8
Услуги-Салони за красота;5.0
Технологии-Телекомуникации-административни дейности и продажби;1.5
Производство-Храни и Напитки;16.2
Технологии-Инженери;5.8
Производство-Електроника/Електротехника, Машиностроене;7.8
Технологии-ИТ-Разработка/поддръжка на хардуер;1.3
Услуги-Спорт, Кинезитерапия;1.5
Производство-Фармация;0.0
Добив-Селско и горско стопанство, Рибовъдство;3.3
Услуги-Пътуване и Резервации/Туристически агенции;0.0
Услуги-Застраховане;6.5
Услуги-Контакт центрове (Call Centers);5.7
Услуги-Логистика, Спедиция;15.8
Технологии-ИТ-Административни дейности и продажби;1.7
Технологии-Научна и изследователска дейност;0.3
Услуги-Изкуство, Развлечение, Промоции;9.8
Услуги-Търговия, Продажби-Експерти и мениджъри;34.3
Технологии-Дизайн, Криейтив, Видео и Анимация;3.5
Технологии-Медии;0.0
Услуги-Здравеопазване и фармация;10.0
Услуги-Хотели;8.0
Услуги-Автомобили, Автосервизи, Бензиностанции;20.2
Технологии-Бизнес/Консултантски услуги;1.0
Производство-Текстил и Облеклa;26.5
Услуги-Охрана;3.0
Технологии-Мениджмънт, бизнес развитие;0.3
Услуги-Банки/Кредитиране;5.7
Услуги-Ремонт/Инсталация/Сервиз;24.8
Услуги-Ресторанти, Кетъринг;70.0
Технологии-Реклама/PR;3.0
Услуги-Недвижими имоти;1.5
Технологии-Телекомуникации-инженери и техници;1.0
Услуги-Енергетика и Ютилитис (Ток/Вода/Парно/Газ);3.3
