Услуги-Авиация, Летища и Авиолинии;0.3
Производство-Химия и горива;6.5
Услуги-Архитектура, Строителство и Градоустройство;24.2
Технологии-Маркетинг;4.7
Услуги-Почистване, Услуги за домакинството;21.5
Технологии-Счетоводство, Одит, Финанси;13.2
Производство-Металургия и минно дело;2.0
Технологии-Човешки ресурси;0.3
Услуги-Институции/Държавна администрация;1.0
Услуги-Административни и офис дейности;33.3
Технологии-ИТ-Разработка/поддръжка на софтуер;5.8
Технологии-Право, Юридически услуги;0.5
Технологии-Образование, Курсове, Преводи;4.3
Услуги-Шофьори, Куриери;43.3
Услуги-Морски и Речен Транспорт/Морски Специалисти;0.0
Услуги-Организации с нестопанска цел;2.2
Производство-Производство(друго);47.7
Услуги-Търговия, Продажби-Продавачи и помощен персонал;139.2
Услуги-Салони за красота;6.0
Технологии-Телекомуникации-административни дейности и продажби;2.8
Производство-Храни и Напитки;19.0
Технологии-Инженери;6.5
Производство-Електроника/Електротехника, Машиностроене;21.3
Технологии-ИТ-Разработка/поддръжка на хардуер;1.3
Услуги-Спорт, Кинезитерапия;1.5
Производство-Фармация;0.0
Добив-Селско и горско стопанство, Рибовъдство;3.8
Услуги-Пътуване и Резервации/Туристически агенции;0.0
Услуги-Застраховане;8.5
Услуги-Контакт центрове (Call Centers);6.2
Услуги-Логистика, Спедиция;17.3
Технологии-ИТ-Административни дейности и продажби;2.2
Технологии-Научна и изследователска дейност;0.3
Услуги-Изкуство, Развлечение, Промоции;17.8
Услуги-Търговия, Продажби-Експерти и мениджъри;38.3
Технологии-Дизайн, Криейтив, Видео и Анимация;4.0
Технологии-Медии;0.0
Услуги-Здравеопазване и фармация;17.5
Услуги-Хотели;20.3
Услуги-Автомобили, Автосервизи, Бензиностанции;26.5
Технологии-Бизнес/Консултантски услуги;1.0
Производство-Текстил и Облеклa;37.0
Услуги-Охрана;6.0
Технологии-Мениджмънт, бизнес развитие;0.3
Услуги-Банки/Кредитиране;10.7
Услуги-Ремонт/Инсталация/Сервиз;30.2
Услуги-Ресторанти, Кетъринг;102.3
Технологии-Реклама/PR;3.0
Услуги-Недвижими имоти;1.5
Технологии-Телекомуникации-инженери и техници;3.0
Услуги-Енергетика и Ютилитис (Ток/Вода/Парно/Газ);4.7
