Услуги-Авиация, Летища и Авиолинии;0.5
Производство-Химия и горива;4.7
Услуги-Архитектура, Строителство и Градоустройство;43.0
Технологии-Маркетинг;25.5
Услуги-Почистване, Услуги за домакинството;58.0
Технологии-Счетоводство, Одит, Финанси;54.7
Производство-Металургия и минно дело;2.7
Технологии-Човешки ресурси;9.2
Услуги-Институции/Държавна администрация;0.5
Услуги-Административни и офис дейности;107.3
Технологии-ИТ-Разработка/поддръжка на софтуер;85.3
Технологии-Право, Юридически услуги;6.8
Технологии-Образование, Курсове, Преводи;51.5
Услуги-Шофьори, Куриери;100.3
Услуги-Морски и Речен Транспорт/Морски Специалисти;6.5
Услуги-Организации с нестопанска цел;3.2
Производство-Производство(друго);52.5
Услуги-Търговия, Продажби-Продавачи и помощен персонал;350.0
Услуги-Салони за красота;62.5
Технологии-Телекомуникации-административни дейности и продажби;11.8
Производство-Храни и Напитки;38.5
Технологии-Инженери;27.0
Производство-Електроника/Електротехника, Машиностроене;23.3
Технологии-ИТ-Разработка/поддръжка на хардуер;18.2
Услуги-Спорт, Кинезитерапия;8.2
Производство-Фармация;0.3
Добив-Селско и горско стопанство, Рибовъдство;5.5
Услуги-Пътуване и Резервации/Туристически агенции;31.3
Услуги-Застраховане;7.0
Услуги-Контакт центрове (Call Centers);37.0
Услуги-Логистика, Спедиция;37.3
Технологии-ИТ-Административни дейности и продажби;30.5
Технологии-Научна и изследователска дейност;1.2
Услуги-Изкуство, Развлечение, Промоции;34.8
Услуги-Търговия, Продажби-Експерти и мениджъри;84.5
Технологии-Дизайн, Криейтив, Видео и Анимация;18.7
Технологии-Медии;5.8
Услуги-Здравеопазване и фармация;46.8
Услуги-Хотели;98.2
Услуги-Автомобили, Автосервизи, Бензиностанции;47.7
Технологии-Бизнес/Консултантски услуги;10.5
Производство-Текстил и Облеклa;30.3
Услуги-Охрана;24.3
Технологии-Мениджмънт, бизнес развитие;9.7
Услуги-Банки/Кредитиране;22.0
Услуги-Ремонт/Инсталация/Сервиз;59.7
Услуги-Ресторанти, Кетъринг;212.0
Технологии-Реклама/PR;10.2
Услуги-Недвижими имоти;64.8
Технологии-Телекомуникации-инженери и техници;7.5
Услуги-Енергетика и Ютилитис (Ток/Вода/Парно/Газ);9.7
