Услуги-Авиация, Летища и Авиолинии;0.5
Производство-Химия и горива;7.7
Услуги-Архитектура, Строителство и Градоустройство;43.3
Технологии-Маркетинг;25.5
Услуги-Почистване, Услуги за домакинството;63.0
Технологии-Счетоводство, Одит, Финанси;57.5
Производство-Металургия и минно дело;2.7
Технологии-Човешки ресурси;9.2
Услуги-Институции/Държавна администрация;0.5
Услуги-Административни и офис дейности;112.8
Технологии-ИТ-Разработка/поддръжка на софтуер;85.8
Технологии-Право, Юридически услуги;6.8
Технологии-Образование, Курсове, Преводи;51.5
Услуги-Шофьори, Куриери;106.3
Услуги-Морски и Речен Транспорт/Морски Специалисти;6.5
Услуги-Организации с нестопанска цел;3.2
Производство-Производство(друго);57.8
Услуги-Търговия, Продажби-Продавачи и помощен персонал;356.3
Услуги-Салони за красота;63.7
Технологии-Телекомуникации-административни дейности и продажби;13.3
Производство-Храни и Напитки;40.8
Технологии-Инженери;28.3
Производство-Електроника/Електротехника, Машиностроене;26.7
Технологии-ИТ-Разработка/поддръжка на хардуер;18.7
Услуги-Спорт, Кинезитерапия;8.8
Производство-Фармация;0.3
Добив-Селско и горско стопанство, Рибовъдство;9.5
Услуги-Пътуване и Резервации/Туристически агенции;32.5
Услуги-Застраховане;7.0
Услуги-Контакт центрове (Call Centers);37.0
Услуги-Логистика, Спедиция;38.2
Технологии-ИТ-Административни дейности и продажби;31.0
Технологии-Научна и изследователска дейност;1.2
Услуги-Изкуство, Развлечение, Промоции;36.3
Услуги-Търговия, Продажби-Експерти и мениджъри;85.3
Технологии-Дизайн, Криейтив, Видео и Анимация;18.7
Технологии-Медии;5.8
Услуги-Здравеопазване и фармация;47.8
Услуги-Хотели;121.7
Услуги-Автомобили, Автосервизи, Бензиностанции;49.7
Технологии-Бизнес/Консултантски услуги;10.8
Производство-Текстил и Облеклa;30.8
Услуги-Охрана;24.8
Технологии-Мениджмънт, бизнес развитие;10.0
Услуги-Банки/Кредитиране;23.3
Услуги-Ремонт/Инсталация/Сервиз;63.5
Услуги-Ресторанти, Кетъринг;226.7
Технологии-Реклама/PR;10.2
Услуги-Недвижими имоти;64.8
Технологии-Телекомуникации-инженери и техници;8.5
Услуги-Енергетика и Ютилитис (Ток/Вода/Парно/Газ);15.2
