Услуги-Авиация, Летища и Авиолинии;0.0
Производство-Химия и горива;0.3
Услуги-Архитектура, Строителство и Градоустройство;6.3
Технологии-Маркетинг;0.3
Услуги-Почистване, Услуги за домакинството;1.0
Технологии-Счетоводство, Одит, Финанси;1.3
Производство-Металургия и минно дело;0.0
Технологии-Човешки ресурси;1.0
Услуги-Институции/Държавна администрация;0.0
Услуги-Административни и офис дейности;4.0
Технологии-ИТ-Разработка/поддръжка на софтуер;0.0
Технологии-Право, Юридически услуги;0.0
Технологии-Образование, Курсове, Преводи;0.5
Услуги-Шофьори, Куриери;11.0
Услуги-Морски и Речен Транспорт/Морски Специалисти;0.0
Услуги-Организации с нестопанска цел;0.5
Производство-Производство(друго);8.0
Услуги-Търговия, Продажби-Продавачи и помощен персонал;21.2
Услуги-Салони за красота;0.0
Технологии-Телекомуникации-административни дейности и продажби;0.0
Производство-Храни и Напитки;0.0
Технологии-Инженери;2.2
Производство-Електроника/Електротехника, Машиностроене;8.5
Технологии-ИТ-Разработка/поддръжка на хардуер;0.0
Услуги-Спорт, Кинезитерапия;0.0
Производство-Фармация;0.0
Добив-Селско и горско стопанство, Рибовъдство;0.0
Услуги-Пътуване и Резервации/Туристически агенции;0.0
Услуги-Застраховане;1.0
Услуги-Контакт центрове (Call Centers);0.0
Услуги-Логистика, Спедиция;4.5
Технологии-ИТ-Административни дейности и продажби;2.0
Технологии-Научна и изследователска дейност;0.3
Услуги-Изкуство, Развлечение, Промоции;1.5
Услуги-Търговия, Продажби-Експерти и мениджъри;8.0
Технологии-Дизайн, Криейтив, Видео и Анимация;1.0
Технологии-Медии;3.0
Услуги-Здравеопазване и фармация;2.5
Услуги-Хотели;0.0
Услуги-Автомобили, Автосервизи, Бензиностанции;5.0
Технологии-Бизнес/Консултантски услуги;0.3
Производство-Текстил и Облеклa;2.0
Услуги-Охрана;2.0
Технологии-Мениджмънт, бизнес развитие;0.3
Услуги-Банки/Кредитиране;4.0
Услуги-Ремонт/Инсталация/Сервиз;4.0
Услуги-Ресторанти, Кетъринг;24.0
Технологии-Реклама/PR;1.0
Услуги-Недвижими имоти;2.0
Технологии-Телекомуникации-инженери и техници;0.0
Услуги-Енергетика и Ютилитис (Ток/Вода/Парно/Газ);2.3
