Услуги-Авиация, Летища и Авиолинии;0.0
Производство-Химия и горива;1.0
Услуги-Архитектура, Строителство и Градоустройство;7.0
Технологии-Маркетинг;3.7
Услуги-Почистване, Услуги за домакинството;17.5
Технологии-Счетоводство, Одит, Финанси;13.0
Производство-Металургия и минно дело;1.8
Технологии-Човешки ресурси;0.0
Услуги-Институции/Държавна администрация;0.0
Услуги-Административни и офис дейности;25.0
Технологии-ИТ-Разработка/поддръжка на софтуер;13.5
Технологии-Право, Юридически услуги;1.5
Технологии-Образование, Курсове, Преводи;2.5
Услуги-Шофьори, Куриери;44.2
Услуги-Морски и Речен Транспорт/Морски Специалисти;0.0
Услуги-Организации с нестопанска цел;0.0
Производство-Производство(друго);44.5
Услуги-Търговия, Продажби-Продавачи и помощен персонал;115.8
Услуги-Салони за красота;6.8
Технологии-Телекомуникации-административни дейности и продажби;3.8
Производство-Храни и Напитки;32.7
Технологии-Инженери;8.0
Производство-Електроника/Електротехника, Машиностроене;10.2
Технологии-ИТ-Разработка/поддръжка на хардуер;5.7
Услуги-Спорт, Кинезитерапия;0.0
Производство-Фармация;4.3
Добив-Селско и горско стопанство, Рибовъдство;5.3
Услуги-Пътуване и Резервации/Туристически агенции;0.0
Услуги-Застраховане;3.3
Услуги-Контакт центрове (Call Centers);9.2
Услуги-Логистика, Спедиция;23.2
Технологии-ИТ-Административни дейности и продажби;1.2
Технологии-Научна и изследователска дейност;0.0
Услуги-Изкуство, Развлечение, Промоции;7.5
Услуги-Търговия, Продажби-Експерти и мениджъри;31.3
Технологии-Дизайн, Криейтив, Видео и Анимация;5.5
Технологии-Медии;3.3
Услуги-Здравеопазване и фармация;12.0
Услуги-Хотели;19.5
Услуги-Автомобили, Автосервизи, Бензиностанции;8.3
Технологии-Бизнес/Консултантски услуги;2.2
Производство-Текстил и Облеклa;7.5
Услуги-Охрана;2.8
Технологии-Мениджмънт, бизнес развитие;1.8
Услуги-Банки/Кредитиране;12.3
Услуги-Ремонт/Инсталация/Сервиз;18.7
Услуги-Ресторанти, Кетъринг;84.3
Технологии-Реклама/PR;1.3
Услуги-Недвижими имоти;7.8
Технологии-Телекомуникации-инженери и техници;0.5
Услуги-Енергетика и Ютилитис (Ток/Вода/Парно/Газ);1.5
